timestamp,light,moderate,very,data source
2025-11-22T18:07:14Z,1,0,0,Fitbit App
2025-11-22T18:08:14Z,1,0,0,Fitbit App
2025-11-23T04:25:14Z,1,0,0,Fitbit App
2025-11-23T04:26:14Z,1,0,0,Fitbit App
2025-11-23T04:27:14Z,1,0,0,Fitbit App
2025-11-23T04:28:14Z,1,0,0,Fitbit App
2025-11-23T04:29:14Z,1,0,0,Fitbit App
2025-11-23T04:30:14Z,1,0,0,Fitbit App
2025-11-23T04:31:14Z,1,0,0,Fitbit App
2025-11-23T06:03:14Z,1,0,0,Fitbit App
2025-11-23T06:04:14Z,1,0,0,Fitbit App
2025-11-23T06:05:14Z,1,0,0,Fitbit App
2025-11-23T06:06:14Z,1,0,0,Fitbit App
2025-11-23T06:17:14Z,1,0,0,Fitbit App
2025-11-23T06:18:14Z,0,0,1,Fitbit App
2025-11-23T06:19:14Z,0,0,1,Fitbit App
2025-11-23T06:20:14Z,0,1,0,Fitbit App
2025-11-23T06:21:14Z,1,0,0,Fitbit App
2025-11-23T06:22:14Z,0,0,1,Fitbit App
2025-11-23T06:23:14Z,0,0,1,Fitbit App
2025-11-23T06:24:14Z,0,0,1,Fitbit App
2025-11-23T06:25:14Z,0,1,0,Fitbit App
2025-11-23T06:27:14Z,1,0,0,Fitbit App
2025-11-23T06:28:14Z,0,1,0,Fitbit App
2025-11-23T06:29:14Z,0,1,0,Fitbit App
2025-11-23T06:30:14Z,0,0,1,Fitbit App
2025-11-23T06:40:14Z,1,0,0,Fitbit App
2025-11-23T06:41:14Z,1,0,0,Fitbit App
2025-11-23T06:44:14Z,1,0,0,Fitbit App
2025-11-23T06:45:14Z,1,0,0,Fitbit App
2025-11-23T06:46:14Z,1,0,0,Fitbit App
2025-11-23T06:47:14Z,1,0,0,Fitbit App
2025-11-23T06:48:14Z,1,0,0,Fitbit App
2025-11-23T06:58:14Z,1,0,0,Fitbit App
2025-11-23T06:59:14Z,1,0,0,Fitbit App
2025-11-23T07:00:14Z,1,0,0,Fitbit App
2025-11-23T07:12:14Z,1,0,0,Fitbit App
2025-11-23T07:13:14Z,1,0,0,Fitbit App
2025-11-23T07:15:14Z,1,0,0,Fitbit App
2025-11-23T07:16:14Z,1,0,0,Fitbit App
2025-11-23T07:17:14Z,1,0,0,Fitbit App
2025-11-23T07:18:14Z,1,0,0,Fitbit App
2025-11-23T08:02:14Z,1,0,0,Fitbit App
2025-11-23T08:03:14Z,1,0,0,Fitbit App
2025-11-23T08:04:14Z,1,0,0,Fitbit App
2025-11-23T08:05:14Z,1,0,0,Fitbit App
2025-11-23T08:16:14Z,1,0,0,Fitbit App
2025-11-23T08:17:14Z,1,0,0,Fitbit App
2025-11-23T08:18:14Z,1,0,0,Fitbit App
2025-11-23T08:19:14Z,1,0,0,Fitbit App
2025-11-23T11:22:50Z,1,0,0,Fitbit App
2025-11-23T11:23:50Z,1,0,0,Fitbit App
2025-11-23T11:24:50Z,1,0,0,Fitbit App
2025-11-23T11:25:50Z,1,0,0,Fitbit App
2025-11-23T11:26:50Z,1,0,0,Fitbit App
2025-11-23T11:33:50Z,1,0,0,Fitbit App
2025-11-23T11:34:50Z,1,0,0,Fitbit App
2025-11-23T11:35:50Z,1,0,0,Fitbit App
2025-11-23T11:36:50Z,1,0,0,Fitbit App
2025-11-23T11:37:50Z,1,0,0,Fitbit App
2025-11-23T11:38:50Z,1,0,0,Fitbit App
2025-11-23T11:39:50Z,1,0,0,Fitbit App
2025-11-23T12:29:50Z,1,0,0,Fitbit App
2025-11-23T12:30:50Z,1,0,0,Fitbit App
2025-11-23T19:29:50Z,1,0,0,Fitbit App
2025-11-23T19:30:50Z,1,0,0,Fitbit App
