timestamp,level,data source
2025-11-19T03:36:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T03:42:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T03:43:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T03:49:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T03:50:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T03:51:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T03:52:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T03:53:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T04:20:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T04:21:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T08:53:40Z,SEDENTARY,Fitbit App
2025-11-19T08:54:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T08:55:40Z,SEDENTARY,Fitbit App
2025-11-19T10:06:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T10:07:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T10:08:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:09:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:10:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T10:11:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:12:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:13:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:14:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:15:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:16:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:17:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:18:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:19:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:20:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:21:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:22:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:23:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:24:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:25:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T10:26:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T10:27:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T12:02:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T12:03:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T12:04:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T12:07:40Z,SEDENTARY,Fitbit App
2025-11-19T12:08:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T12:09:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T12:10:40Z,VERY_ACTIVE,Fitbit App
2025-11-19T14:26:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T14:27:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T14:53:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T14:54:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T14:55:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T14:56:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T14:57:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T15:08:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T15:09:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T15:10:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-19T15:11:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:03:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:04:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:05:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:07:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:08:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:15:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:16:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:18:40Z,SEDENTARY,Fitbit App
2025-11-20T08:19:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:20:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:21:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:01:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T11:02:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:03:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T11:04:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:05:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:06:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:07:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T11:13:40Z,SEDENTARY,Fitbit App
2025-11-20T11:14:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T11:15:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:16:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:17:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:18:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:19:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:20:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:21:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:22:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:23:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:24:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:25:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:26:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:27:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:28:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:29:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:30:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:31:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T11:32:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T11:33:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T13:22:40Z,SEDENTARY,Fitbit App
2025-11-20T13:23:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:08:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:09:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T15:10:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:12:40Z,SEDENTARY,Fitbit App
2025-11-20T15:13:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:14:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T15:15:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T15:16:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:34:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:35:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T15:36:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T15:37:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T17:49:40Z,SEDENTARY,Fitbit App
2025-11-20T17:50:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T17:51:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T17:52:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T17:53:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T17:55:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T17:56:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T17:57:40Z,VERY_ACTIVE,Fitbit App
2025-11-20T17:58:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T10:59:40Z,SEDENTARY,Fitbit App
2025-11-21T11:00:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T11:01:40Z,VERY_ACTIVE,Fitbit App
2025-11-21T11:02:40Z,VERY_ACTIVE,Fitbit App
2025-11-21T11:03:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T11:04:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T11:05:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T11:06:40Z,VERY_ACTIVE,Fitbit App
2025-11-21T11:07:40Z,VERY_ACTIVE,Fitbit App
2025-11-21T11:08:40Z,VERY_ACTIVE,Fitbit App
2025-11-21T11:09:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T11:10:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T11:11:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T11:12:40Z,MODERATELY_ACTIVE,Fitbit App
