timestamp,beats per minute,data source
2025-03-26T15:07:55Z,82.0,Sense
2025-03-26T15:08:00Z,86.0,Sense
2025-03-26T15:08:05Z,85.0,Sense
2025-03-26T15:08:10Z,88.0,Sense
2025-03-26T15:08:15Z,87.0,Sense
2025-03-26T15:08:20Z,88.0,Sense
2025-03-26T15:08:35Z,89.0,Sense
2025-03-26T15:08:40Z,90.0,Sense
2025-03-26T15:08:45Z,92.0,Sense
2025-03-26T15:08:50Z,91.0,Sense
2025-03-26T15:08:55Z,94.0,Sense
2025-03-26T15:09:00Z,92.0,Sense
2025-03-26T15:09:10Z,93.0,Sense
2025-03-26T15:09:15Z,92.0,Sense
2025-03-26T15:09:25Z,93.0,Sense
2025-03-26T15:09:30Z,95.0,Sense
2025-03-26T15:09:35Z,96.0,Sense
2025-03-26T15:09:40Z,97.0,Sense
2025-03-26T15:09:45Z,96.0,Sense
2025-03-26T15:09:50Z,97.0,Sense
2025-03-26T15:09:55Z,93.0,Sense
2025-03-26T15:10:00Z,92.0,Sense
2025-03-26T15:10:05Z,91.0,Sense
2025-03-26T15:10:10Z,89.0,Sense
2025-03-26T15:10:20Z,88.0,Sense
2025-03-26T15:10:30Z,90.0,Sense
2025-03-26T15:10:35Z,88.0,Sense
2025-03-26T15:10:40Z,86.0,Sense
2025-03-26T15:10:45Z,86.0,Sense
2025-03-26T15:10:55Z,87.0,Sense
2025-03-26T15:11:05Z,88.0,Sense
2025-03-26T15:11:10Z,90.0,Sense
2025-03-26T15:11:20Z,87.0,Sense
2025-03-26T15:11:25Z,85.0,Sense
2025-03-26T15:11:30Z,87.0,Sense
2025-03-26T15:11:35Z,86.0,Sense
2025-03-26T15:11:40Z,87.0,Sense
2025-03-26T15:11:45Z,85.0,Sense
2025-03-26T15:11:50Z,86.0,Sense
2025-03-26T15:11:55Z,84.0,Sense
2025-03-26T15:12:00Z,87.0,Sense
2025-03-26T15:12:05Z,91.0,Sense
2025-03-26T15:12:10Z,94.0,Sense
2025-03-26T15:12:25Z,95.0,Sense
2025-03-26T15:12:30Z,95.0,Sense
